site,alpha,head_size,num_heads,ff_dim,dropout,dense_unit,learning_rate,val_auc,accuracy,precision,recall,npv,specificity,f1
21,0.25,32,2,64,0.1,32,0.001,0.9412489006156552,0.9644670050761421,1.0,0.06666666666666667,0.9643765903307888,1.0,0.125
21,0.25,32,2,64,0.1,32,0.0003,0.9375549692172382,0.9644670050761421,1.0,0.06666666666666667,0.9643765903307888,1.0,0.125
21,0.25,32,2,64,0.1,64,0.001,0.9445910290237467,0.9644670050761421,1.0,0.06666666666666667,0.9643765903307888,1.0,0.125
21,0.25,32,2,64,0.1,64,0.0003,0.9021987686895339,0.9644670050761421,1.0,0.06666666666666667,0.9643765903307888,1.0,0.125
21,0.25,32,2,64,0.2,32,0.001,0.9331574318381707,0.9644670050761421,1.0,0.06666666666666667,0.9643765903307888,1.0,0.125
21,0.25,32,2,64,0.2,32,0.0003,0.9229551451187336,0.9619289340101523,0.0,0.0,0.9619289340101523,1.0,0.0
21,0.25,32,2,64,0.2,64,0.001,0.9217238346525947,0.9619289340101523,0.0,0.0,0.9619289340101523,1.0,0.0
21,0.25,32,2,64,0.2,64,0.0003,0.9313984168865436,0.9670050761421319,1.0,0.13333333333333333,0.9668367346938775,1.0,0.23529411764705882
21,0.25,32,2,128,0.1,32,0.001,0.9463500439753738,0.9644670050761421,1.0,0.06666666666666667,0.9643765903307888,1.0,0.125
21,0.25,32,2,128,0.1,32,0.0003,0.9621811785400176,0.9619289340101523,0.0,0.0,0.9619289340101523,1.0,0.0
21,0.25,32,2,128,0.1,64,0.001,0.902726473175022,0.9644670050761421,1.0,0.06666666666666667,0.9643765903307888,1.0,0.125
21,0.25,32,2,128,0.1,64,0.0003,0.9278803869832895,0.9644670050761421,0.6666666666666666,0.13333333333333333,0.9667519181585678,0.9973614775725593,0.2222222222222222
21,0.25,32,2,128,0.2,32,0.001,0.9057167985927881,0.9670050761421319,0.75,0.2,0.9692307692307692,0.9973614775725593,0.3157894736842105
21,0.25,32,2,128,0.2,32,0.0003,0.8946350043975373,0.9644670050761421,1.0,0.06666666666666667,0.9643765903307888,1.0,0.125
