site,alpha,gamma,lstm_units,dropout_rate,dense_units,batch_size,val_auc,acc,precision,recall,npv,specificity,f1
21,0.75,2.0,64,0.3,16,32,0.919570557729051,0.9529860228716646,0.38235294117647056,0.4482758620689655,0.9787516600265604,0.9722955145118733,0.4126984126984127
21,0.75,2.0,32,0.2,16,32,0.918797197707215,0.9580686149936467,0.42857142857142855,0.41379310344827586,0.9776021080368906,0.978891820580475,0.42105263157894735
21,0.5,2.0,32,0.2,16,16,0.9138840869802566,0.9682337992376112,0.625,0.3448275862068966,0.9753566796368353,0.9920844327176781,0.4444444444444444
21,0.5,2.0,64,0.3,32,16,0.9134291693203531,0.96569250317662,0.55,0.3793103448275862,0.9765319426336375,0.9881266490765171,0.4489795918367347
21,0.5,2.0,64,0.2,32,16,0.9133381857883723,0.9682337992376112,0.6111111111111112,0.3793103448275862,0.976592977893368,0.9907651715039578,0.46808510638297873
21,0.75,2.0,32,0.2,16,16,0.9132472022563916,0.9555273189326556,0.4117647058823529,0.4827586206896552,0.9800796812749004,0.9736147757255936,0.4444444444444444
21,0.75,2.0,64,0.2,32,16,0.911245564552816,0.9466327827191868,0.34146341463414637,0.4827586206896552,0.9798927613941019,0.9643799472295514,0.4
21,0.75,2.0,64,0.3,32,32,0.9109271221908836,0.9618805590851334,0.48,0.41379310344827586,0.9776902887139107,0.9828496042216359,0.4444444444444444
21,0.5,2.0,32,0.3,16,32,0.9108816304248932,0.9695044472681067,0.6666666666666666,0.3448275862068966,0.9753886010362695,0.9934036939313984,0.45454545454545453
21,0.75,2.0,32,0.3,16,32,0.9097898280411245,0.9567979669631512,0.42424242424242425,0.4827586206896552,0.980106100795756,0.974934036939314,0.45161290322580644
21,0.75,2.0,32,0.2,32,32,0.9096533527431535,0.9580686149936467,0.43333333333333335,0.4482758620689655,0.9788639365918098,0.9775725593667546,0.4406779661016949
21,0.25,2.0,32,0.3,32,16,0.9094258939132017,0.96569250317662,0.625,0.1724137931034483,0.9691912708600771,0.996042216358839,0.2702702702702703
21,0.5,2.0,32,0.2,32,32,0.9086070421253754,0.9669631512071156,0.6363636363636364,0.2413793103448276,0.9716494845360825,0.9947229551451188,0.35
21,0.75,2.0,64,0.3,32,16,0.9081521244654718,0.9504447268106735,0.3611111111111111,0.4482758620689655,0.9786950732356857,0.9696569920844327,0.4
21,0.5,2.0,32,0.2,16,32,0.9074697479756164,0.96569250317662,0.5833333333333334,0.2413793103448276,0.9716129032258064,0.9934036939313984,0.34146341463414637
21,0.5,2.0,32,0.2,32,16,0.907151305613684,0.9682337992376112,0.625,0.3448275862068966,0.9753566796368353,0.9920844327176781,0.4444444444444444
21,0.25,2.0,32,0.2,16,16,0.9055590938040216,0.9644218551461246,0.5714285714285714,0.13793103448275862,0.967948717948718,0.996042216358839,0.2222222222222222
21,0.25,2.0,64,0.2,32,16,0.9054226185060504,0.9669631512071156,0.6666666666666666,0.20689655172413793,0.9704370179948586,0.996042216358839,0.3157894736842105
21,0.25,2.0,64,0.3,16,32,0.9042853243562915,0.96569250317662,0.75,0.10344827586206896,0.966794380587484,0.9986807387862797,0.18181818181818182
21,0.25,2.0,64,0.3,16,16,0.9021927031207351,0.96569250317662,0.6,0.20689655172413793,0.9703989703989704,0.9947229551451188,0.3076923076923077
21,0.75,2.0,64,0.3,16,16,0.9012373760349378,0.9529860228716646,0.38235294117647056,0.4482758620689655,0.9787516600265604,0.9722955145118733,0.4126984126984127
21,0.25,2.0,64,0.2,16,32,0.9011009007369666,0.9644218551461246,0.5714285714285714,0.13793103448275862,0.967948717948718,0.996042216358839,0.2222222222222222
21,0.5,2.0,64,0.3,16,32,0.9010099172049859,0.9682337992376112,0.6111111111111112,0.3793103448275862,0.976592977893368,0.9907651715039578,0.46808510638297873
21,0.5,2.0,64,0.2,32,32,0.9007369666090437,0.9682337992376112,0.6428571428571429,0.3103448275862069,0.9741267787839586,0.9934036939313984,0.4186046511627907
21,0.25,2.0,64,0.3,32,16,0.9003275407151305,0.9682337992376112,0.7,0.2413793103448276,0.9716859716859717,0.996042216358839,0.358974358974359
21,0.5,2.0,32,0.3,32,16,0.9001455736511692,0.9695044472681067,0.6923076923076923,0.3103448275862069,0.9741602067183462,0.9947229551451188,0.42857142857142855
21,0.25,2.0,32,0.2,32,32,0.8988263124374489,0.9669631512071156,0.7142857142857143,0.1724137931034483,0.9692307692307692,0.9973614775725593,0.2777777777777778
21,0.25,2.0,32,0.3,32,32,0.8987353289054683,0.9644218551461246,0.6,0.10344827586206896,0.9667519181585678,0.9973614775725593,0.17647058823529413
21,0.25,2.0,64,0.2,32,32,0.8978709853516513,0.9644218551461246,0.6,0.10344827586206896,0.9667519181585678,0.9973614775725593,0.17647058823529413
21,0.5,2.0,64,0.3,32,32,0.8973705759257574,0.9682337992376112,0.6666666666666666,0.27586206896551724,0.9729032258064516,0.9947229551451188,0.3902439024390244
21,0.75,2.0,32,0.3,32,32,0.8946865617323264,0.9580686149936467,0.43333333333333335,0.4482758620689655,0.9788639365918098,0.9775725593667546,0.4406779661016949
21,0.75,2.0,32,0.3,16,16,0.8944136111363843,0.9555273189326556,0.4166666666666667,0.5172413793103449,0.9813581890812251,0.9722955145118733,0.46153846153846156
21,0.5,2.0,32,0.3,16,16,0.894231644072423,0.9644218551461246,0.5294117647058824,0.3103448275862069,0.974025974025974,0.9894459102902374,0.391304347826087
16,0.25,2.0,64,0.3,32,16,0.8937821411874709,0.9623149394347241,0.625,0.16666666666666666,0.9659863945578231,0.9957924263674615,0.2631578947368421
21,0.5,2.0,32,0.3,32,32,0.8932308252206351,0.9707750952986023,0.75,0.3103448275862069,0.9741935483870968,0.996042216358839,0.43902439024390244
