site,alpha,head_size,num_heads,ff_dim,dropout,dense_unit,learning_rate,val_auc,accuracy,precision,recall,npv,specificity,f1
21,0.75,64,2,64,0.1,64,0.001,0.9671064204045736,0.9720812182741116,0.75,0.4,0.9766839378238342,0.9947229551451188,0.5217391304347826
21,0.5,64,4,128,0.1,64,0.001,0.964995602462621,0.9720812182741116,0.7,0.4666666666666667,0.9791666666666666,0.992084432717678,0.56
21,0.25,64,4,64,0.1,32,0.001,0.9616534740545296,0.964467005076142,1.0,0.0666666666666666,0.9643765903307888,1.0,0.125
21,0.5,64,4,128,0.2,32,0.001,0.9597185576077396,0.9746192893401016,0.7777777777777778,0.4666666666666667,0.9792207792207792,0.9947229551451188,0.5833333333333334
21,0.75,64,4,128,0.2,64,0.001,0.9588390501319262,0.9746192893401016,0.6666666666666666,0.6666666666666666,0.9868073878627968,0.9868073878627968,0.6666666666666666
21,0.75,64,2,128,0.1,32,0.001,0.9588390501319262,0.9771573604060914,0.75,0.6,0.9842931937172776,0.992084432717678,0.6666666666666666
21,0.5,64,2,64,0.1,64,0.001,0.9565523306948108,0.9695431472081218,1.0,0.2,0.969309462915601,1.0,0.3333333333333333
21,0.5,64,4,128,0.2,32,0.0003,0.9556728232189974,0.9695431472081218,0.7142857142857143,0.3333333333333333,0.9741602067183462,0.9947229551451188,0.4545454545454545
21,0.25,64,2,128,0.1,64,0.0003,0.9547933157431838,0.9619289340101524,0.5,0.0666666666666666,0.9642857142857144,0.9973614775725592,0.1176470588235294
21,0.75,32,4,128,0.1,64,0.001,0.9547933157431838,0.9796954314720812,0.8888888888888888,0.5333333333333333,0.9818181818181818,0.9973614775725592,0.6666666666666666
21,0.25,64,2,128,0.2,32,0.001,0.9547933157431838,0.9619289340101524,0.5,0.1333333333333333,0.9666666666666668,0.9947229551451188,0.2105263157894736
21,0.75,64,2,64,0.1,32,0.001,0.9540897097625328,0.9746192893401016,0.7777777777777778,0.4666666666666667,0.9792207792207792,0.9947229551451188,0.5833333333333334
21,0.5,32,4,64,0.1,64,0.001,0.9537379067722076,0.967005076142132,1.0,0.1333333333333333,0.9668367346938777,1.0,0.2352941176470588
21,0.5,32,2,128,0.1,64,0.001,0.9532102022867196,0.9695431472081218,0.7142857142857143,0.3333333333333333,0.9741602067183462,0.9947229551451188,0.4545454545454545
21,0.5,32,2,64,0.1,32,0.001,0.9526824978012312,0.9720812182741116,0.75,0.4,0.9766839378238342,0.9947229551451188,0.5217391304347826
21,0.75,64,4,128,0.2,32,0.0003,0.9516270888302552,0.9720812182741116,0.7,0.4666666666666667,0.9791666666666666,0.992084432717678,0.56
